1 	 0.107933
2 	 0.099060
3 	 0.097856
4 	 0.085312
5 	 0.087788
6 	 0.088502
7 	 0.099977
8 	 0.088285
9 	 0.087937
10 	 0.094713
11 	 0.095244
12 	 0.101851
13 	 0.095774
14 	 0.088999
15 	 0.089679
16 	 0.094239
17 	 0.085860
18 	 0.095281
19 	 0.089696
20 	 0.087754
21 	 0.089879
22 	 0.094915
23 	 0.095098
24 	 0.082016
25 	 0.103581
26 	 0.083749
27 	 0.087090
28 	 0.088302
29 	 0.104111
30 	 0.091969
31 	 0.091969
32 	 0.088302
33 	 0.086558
34 	 0.081119
35 	 0.096671
36 	 0.080982
37 	 0.090724
38 	 0.085678
39 	 0.100120
40 	 0.085877
41 	 0.094056
42 	 0.085694
43 	 0.089696
44 	 0.099590
45 	 0.082836
46 	 0.096488
47 	 0.089182
48 	 0.096652
49 	 0.094220
50 	 0.094220
51 	 0.087605
52 	 0.057555
53 	 0.068156
54 	 0.071324
55 	 0.075541
56 	 0.058428
57 	 0.066575
58 	 0.067269
59 	 0.058800
60 	 0.063206
61 	 0.071871
62 	 0.058972
63 	 0.061621
64 	 0.055428
65 	 0.064629
66 	 0.055791
67 	 0.059163
68 	 0.058255
69 	 0.063034
70 	 0.061086
71 	 0.064457
72 	 0.060560
73 	 0.062519
74 	 0.057365
75 	 0.058800
76 	 0.060388
77 	 0.068508
78 	 0.060206
79 	 0.059862
80 	 0.062318
81 	 0.063398
82 	 0.059671
83 	 0.060197
84 	 0.059862
85 	 0.064286
86 	 0.063226
87 	 0.064478
88 	 0.060923
89 	 0.062691
90 	 0.067280
91 	 0.060914
92 	 0.061468
93 	 0.061631
94 	 0.061621
95 	 0.065677
96 	 0.064821
97 	 0.063216
98 	 0.057201
99 	 0.061974
100 	 0.063741
